variant,trial,fnd,hnd,lnd,final_alive
full,42,169,219,500,6
full,43,151,189,500,7
full,44,135,187,500,6
full,45,151,205,500,3
full,46,145,202,500,7
full,47,154,238,500,5
full,48,144,220,500,4
full,49,147,227,500,4
full,50,151,190,500,9
full,51,139,186,500,8
full,52,153,178,500,7
full,53,152,256,500,5
full,54,146,203,500,9
full,55,152,237,500,6
full,56,152,217,500,3
no-debt,42,163,214,500,6
no-debt,43,149,199,500,9
no-debt,44,140,190,500,6
no-debt,45,162,207,500,4
no-debt,46,156,211,500,7
no-debt,47,167,228,500,3
no-debt,48,155,203,500,5
no-debt,49,157,226,500,5
no-debt,50,149,194,500,10
no-debt,51,144,186,500,8
no-debt,52,144,189,500,9
no-debt,53,162,220,500,5
no-debt,54,147,206,500,7
no-debt,55,154,220,500,6
no-debt,56,162,218,500,4
high-m,42,157,222,500,5
high-m,43,152,187,500,9
high-m,44,139,175,500,5
high-m,45,154,205,500,4
high-m,46,153,207,500,8
high-m,47,164,237,500,5
high-m,48,152,209,500,5
high-m,49,158,238,500,5
high-m,50,139,194,500,9
high-m,51,144,186,500,6
high-m,52,147,183,500,7
high-m,53,153,227,500,4
high-m,54,150,211,500,9
high-m,55,153,218,500,6
high-m,56,153,217,500,6
