variant,trial,fnd,hnd,lnd,avg_gini,avg_m
full,42,27,53,150,0.40034408091602935,1.0
full,43,18,44,184,0.25802865121333385,1.0
full,44,23,49,146,0.3465800762131347,1.0
full,45,23,50,164,0.38600933246572666,1.0
full,46,27,51,139,0.4048678255832112,1.0
full,47,31,63,315,0.1380456884720286,1.0
full,48,28,51,252,0.26395008650058266,1.0
full,49,25,59,291,0.16944420765730625,1.0
full,50,24,47,166,0.34206122157561714,1.0
full,51,13,49,190,0.28398896392528544,1.0
full,52,23,46,246,0.17444411678797175,1.0
full,53,21,58,166,0.2879700547879799,1.0
full,54,23,48,179,0.3129476583752282,1.0
full,55,19,55,296,0.16651220391828755,1.0
full,56,28,55,155,0.3094274437410486,1.0
no-debt,42,22,51,280,0.25945060742086823,1.0
no-debt,43,23,44,164,0.30200495232350144,1.0
no-debt,44,18,46,170,0.3049218695359138,1.0
no-debt,45,30,49,209,0.22767561526266117,1.0
no-debt,46,29,51,140,0.40726805033875424,1.0
no-debt,47,22,60,142,0.36108696850709626,1.0
no-debt,48,22,51,353,0.11192641085914543,1.0
no-debt,49,28,56,282,0.2604054234265407,1.0
no-debt,50,22,48,225,0.23573320018084742,1.0
no-debt,51,27,44,183,0.3248430202557602,1.0
no-debt,52,23,48,260,0.21315498828000626,1.0
no-debt,53,26,65,183,0.3254415531623906,1.0
no-debt,54,25,52,146,0.319953275181735,1.0
no-debt,55,28,51,189,0.36077754547933943,1.0
no-debt,56,28,54,177,0.36021994998926044,1.0
no-bandit,42,33,51,258,0.2511276941697339,1.0
no-bandit,43,24,46,154,0.2863671412922983,1.0
no-bandit,44,22,49,187,0.2831144132247692,1.0
no-bandit,45,25,50,201,0.2223472716154763,1.0
no-bandit,46,30,51,193,0.32593620160465325,1.0
no-bandit,47,35,54,183,0.3253046768580225,1.0
no-bandit,48,23,52,366,0.11622627742582761,1.0
no-bandit,49,29,55,334,0.1671842992752699,1.0
no-bandit,50,19,45,198,0.3670523537665943,1.0
no-bandit,51,29,44,182,0.30350429634586207,1.0
no-bandit,52,25,47,243,0.18793370458224087,1.0
no-bandit,53,29,61,156,0.36105040953679196,1.0
no-bandit,54,30,51,169,0.26624181575470524,1.0
no-bandit,55,29,53,372,0.03841437578350123,1.0
no-bandit,56,25,58,157,0.34185580540063226,1.0
minimal,42,25,55,158,0.38012417464677645,1.0
minimal,43,15,44,170,0.2877509900155184,1.0
minimal,44,22,48,222,0.3430712411689956,1.0
minimal,45,27,51,207,0.3035810350424898,1.0
minimal,46,26,50,171,0.37424274149416475,1.0
minimal,47,31,53,301,0.1737966240561438,1.0
minimal,48,29,48,269,0.2827244052174714,1.0
minimal,49,22,58,289,0.15273627929085565,1.0
minimal,50,24,46,208,0.29964589465842884,1.0
minimal,51,26,44,188,0.34658471177805633,1.0
minimal,52,30,46,237,0.25550607312724233,1.0
minimal,53,18,54,132,0.3702569312300013,1.0
minimal,54,25,48,148,0.30660002642066664,1.0
minimal,55,27,54,230,0.3265373786548473,1.0
minimal,56,28,59,173,0.2745080117781253,1.0
